message_id,schema_version,tenant_id,site_id,message_type,asset_id,asset_type,timestamp,sequence_no,safety.event_type,safety.severity,safety.alert_flag,safety.geofence_violation,safety.speeding_flag,safety.harsh_braking_flag,safety.fatigue_risk_flag
7d9e37e6-e479-4370-90d9-5cd069426e2e,1.0,acme-mining,site-01,safety_event,ACME-S01-SAFETY-001,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
76b09e90-dc80-46ec-ae7a-7933adcf67f7,1.0,acme-mining,site-01,safety_event,ACME-S01-SAFETY-002,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
90e7d68f-e5cb-41fb-a0a1-594ad266177e,1.0,acme-mining,site-01,safety_event,ACME-S01-SAFETY-003,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
e293f69a-7fa6-43f1-a6d7-9cd5596ce91d,1.0,acme-mining,site-01,safety_event,ACME-S01-SAFETY-004,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
17ef8622-19be-4d1e-ae4b-d3f0b06b4ac3,1.0,acme-mining,site-01,safety_event,ACME-S01-SAFETY-005,safety_gateway,2026-09-01T16:14:12.813Z,1,geofence_violation,medium,True,True,False,False,False
ad0ba7b0-eaf0-4f3c-9d52-b4b67e196cbe,1.0,acme-mining,site-02,safety_event,ACME-S02-SAFETY-001,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
7bb5cc10-3556-456e-9289-c181868d75ff,1.0,acme-mining,site-02,safety_event,ACME-S02-SAFETY-002,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
3ee3518f-74dd-49aa-ab5b-aceaf621876f,1.0,acme-mining,site-02,safety_event,ACME-S02-SAFETY-003,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
d48288b1-a82b-43ae-9e3d-f009d9c485d6,1.0,acme-mining,site-02,safety_event,ACME-S02-SAFETY-004,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
70193545-aff8-4e5b-9168-35456e4e0965,1.0,acme-mining,site-02,safety_event,ACME-S02-SAFETY-005,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
050099e0-b6a3-4521-bb55-d17d2f5a0d23,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-001,safety_gateway,2026-09-01T16:14:12.813Z,1,overspeed,high,True,False,True,False,False
51d4be9f-b267-4791-9052-d4d349b603ae,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-002,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
539bfa3a-1f9b-4bde-8730-b6693b3476e5,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-003,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
29333b72-8773-4076-aec4-7e51c1fdd69a,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-004,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
d0cf26e1-8b42-4036-8325-7ca7a6213958,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-005,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
6936d6bf-e18f-4c2e-a327-6661adf1e2fa,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-006,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
590845a7-3a24-4ee4-9acc-b331a067073b,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-007,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
1d582330-5e57-4cb6-9acc-82a9a6cd27af,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-008,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
803b6a9e-3103-4edf-b684-aff4780c475a,1.0,beta-minerals,north-site,safety_event,BETA-NORTH-SAFETY-009,safety_gateway,2026-09-01T16:14:12.813Z,1,none,none,False,False,False,False,False
