message_id,schema_version,tenant_id,site_id,message_type,asset_id,asset_type,timestamp,sequence_no,air_quality.pm2_5_ug_m3,air_quality.pm10_ug_m3,air_quality.dust_mg_m3,air_quality.ambient_temp_c,air_quality.relative_humidity_pct,air_quality.alert_flag
26e57350-2348-4c5b-928e-1a023b45a297,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-001,sensor_station,2026-09-01T20:17:58.253Z,1,22.9,24.3,0.42,32.2,29.0,False
90ef2540-2012-4608-abc0-5f670773228a,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-002,sensor_station,2026-09-01T20:17:58.253Z,1,9.0,34.7,0.75,24.7,43.5,False
d33cf0dd-88d8-4a81-ba02-5cef6552dfa0,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-003,sensor_station,2026-09-01T20:17:58.253Z,1,21.2,26.0,0.08,19.1,40.2,False
28cc1175-224e-40b5-a2dd-01029ff87edc,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-004,sensor_station,2026-09-01T20:17:58.253Z,1,23.4,20.9,0.59,26.5,34.5,False
35c2e30d-921e-4dc9-896c-fd522606be51,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-005,sensor_station,2026-09-01T20:17:58.253Z,1,12.0,36.8,0.18,30.0,45.8,False
cd517301-f689-4148-bb57-b419c3e8fdf5,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-006,sensor_station,2026-09-01T20:17:58.253Z,1,18.2,28.7,0.39,28.6,69.1,False
89766865-1559-42d5-b614-b9853926bb69,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-007,sensor_station,2026-09-01T20:17:58.253Z,1,10.9,30.0,0.3,20.5,74.9,False
c000c02f-347d-4690-bee1-1ef7a457019c,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-008,sensor_station,2026-09-01T20:17:58.253Z,1,13.6,27.5,0.79,23.2,43.6,False
08132bd4-1acd-44ce-997a-763060bdea59,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-009,sensor_station,2026-09-01T20:17:58.253Z,1,14.9,39.8,0.51,27.0,35.7,False
094e2923-01d5-415f-9aa0-caf0f29067be,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-010,sensor_station,2026-09-01T20:17:58.253Z,1,22.8,25.6,0.77,25.2,44.9,False
81f553c5-2e03-4443-9e62-abda3d84149d,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-011,sensor_station,2026-09-01T20:17:58.253Z,1,23.7,35.9,0.44,33.9,40.1,False
8295209b-e859-4b2e-be74-249388701d75,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-012,sensor_station,2026-09-01T20:17:58.253Z,1,11.6,43.7,0.07,31.2,59.5,False
3a084e27-7834-42e1-8a13-2a3cc47d70bf,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-013,sensor_station,2026-09-01T20:17:58.253Z,1,16.9,34.7,0.74,20.5,26.9,False
2e5e88b5-2f37-40a5-9dc6-baa8ec560f9c,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-014,sensor_station,2026-09-01T20:17:58.253Z,1,10.2,29.0,0.49,21.7,65.6,False
6ee2ce01-88f1-4c92-897a-b0e7f92ef40e,1.0,acme-mining,site-01,air_quality,ACME-S01-AQ-015,sensor_station,2026-09-01T20:17:58.253Z,1,14.4,45.5,0.6,29.6,64.6,False
359210a8-ec7c-4067-bfad-ddc10a7724f3,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-001,sensor_station,2026-09-01T20:17:58.253Z,1,67.9,150.6,0.77,19.3,61.5,True
5c6fb121-331e-4fb1-bb84-a7c67322f79f,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-002,sensor_station,2026-09-01T20:17:58.253Z,1,21.7,40.5,0.26,26.3,51.2,False
a9f5bb54-17ae-445c-9fc6-bb79f6049420,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-003,sensor_station,2026-09-01T20:17:58.253Z,1,11.9,36.9,0.55,28.7,59.2,False
227784a3-3c6e-4806-8c0d-685bd6c054f7,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-004,sensor_station,2026-09-01T20:17:58.253Z,1,17.3,36.4,0.73,26.6,25.5,False
f24ee52c-4ae5-4566-9df0-84c2a211c76c,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-005,sensor_station,2026-09-01T20:17:58.253Z,1,22.5,35.2,0.3,23.6,73.9,False
9118c72d-cec2-469b-8349-cdf0c914f446,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-006,sensor_station,2026-09-01T20:17:58.253Z,1,10.7,38.9,0.5,22.9,64.3,False
b0458cfe-de06-409d-a1d4-37cffbc20832,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-007,sensor_station,2026-09-01T20:17:58.253Z,1,18.1,35.3,0.48,28.5,39.6,False
62c41a13-0c11-4709-bb58-d4c40f2de8f5,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-008,sensor_station,2026-09-01T20:17:58.253Z,1,8.4,32.5,0.15,19.2,64.2,False
0b4b8a01-2baa-4d31-80b6-c1f27c2fbcb1,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-009,sensor_station,2026-09-01T20:17:58.253Z,1,17.9,26.3,0.24,29.9,55.2,False
b8fe9beb-e3d1-4318-92d3-3f1d070a7563,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-010,sensor_station,2026-09-01T20:17:58.253Z,1,19.8,37.8,0.33,20.8,64.1,False
8eca9f78-36f7-4f88-9b9e-b2d6017c4667,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-011,sensor_station,2026-09-01T20:17:58.253Z,1,10.9,33.8,0.07,33.7,73.4,False
5d7d3350-6b49-462f-ad41-62a5f3d98d1f,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-012,sensor_station,2026-09-01T20:17:58.253Z,1,21.1,43.1,0.61,24.6,44.2,False
bf853dcb-68b8-40a8-ad42-416afd4cb3bd,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-013,sensor_station,2026-09-01T20:17:58.253Z,1,19.6,23.0,0.48,31.5,27.7,False
1d1d720e-570f-4d01-b39d-150ccb938bac,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-014,sensor_station,2026-09-01T20:17:58.253Z,1,21.1,19.6,0.4,25.6,48.8,False
bf9df167-d1b8-42c8-bf84-866858eb1b8e,1.0,acme-mining,site-02,air_quality,ACME-S02-AQ-015,sensor_station,2026-09-01T20:17:58.253Z,1,22.8,25.0,0.56,24.2,38.1,False
57d44f93-d888-4c8a-8841-91cbd3f8a4e1,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-001,sensor_station,2026-09-01T20:17:58.253Z,1,23.8,30.8,0.69,32.3,65.1,False
cd42417c-0b2a-4544-b79a-a059693c5560,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-002,sensor_station,2026-09-01T20:17:58.253Z,1,13.9,18.4,0.56,28.8,44.8,False
d6e0a47f-4741-4afe-a106-963be433b355,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-003,sensor_station,2026-09-01T20:17:58.253Z,1,18.8,21.6,0.35,29.1,73.9,False
b705fefc-bf2b-4c39-8482-5eee374821c1,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-004,sensor_station,2026-09-01T20:17:58.253Z,1,22.3,23.1,0.32,21.2,35.0,False
6c08af3f-0638-426d-8628-8a9ab98c4608,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-005,sensor_station,2026-09-01T20:17:58.253Z,1,14.5,25.0,0.37,26.0,63.2,False
10e72d9f-e50d-4ecd-bca4-ac2bdf8712fd,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-006,sensor_station,2026-09-01T20:17:58.253Z,1,17.5,40.7,0.65,33.1,42.8,False
257d41ca-32ec-4ebe-b8ce-395c199bd92a,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-007,sensor_station,2026-09-01T20:17:58.253Z,1,23.2,47.6,0.43,20.4,47.7,False
ca9a11cf-8682-4650-b045-2d747d0ee78e,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-008,sensor_station,2026-09-01T20:17:58.253Z,1,15.8,24.9,0.76,18.5,61.9,False
c2a2ee65-ea9d-40bf-beca-3c5402b1a7a3,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-009,sensor_station,2026-09-01T20:17:58.253Z,1,16.0,18.8,0.18,27.7,41.3,False
22a8a386-f4bf-498a-bc7a-0ea59d92bf0a,1.0,beta-minerals,north-site,air_quality,BETA-NORTH-AQ-010,sensor_station,2026-09-01T20:17:58.253Z,1,18.0,40.8,0.55,26.3,49.6,False
