message_id,schema_version,tenant_id,site_id,message_type,asset_id,asset_type,timestamp,sequence_no,production.operating_state,production.material_type,production.throughput_tph,production.target_throughput_tph,production.total_tonnes,production.load_count,production.production_loss_reason,production.alert_flag,diagnostics.fault_codes
ef56426f-f0b4-4f0e-9ae7-73f20d1a69e1,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-001,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1830.3,1800.0,1949847.9,16777,,False,[]
7458f5c4-403d-40f2-8ccc-c6ed2c30c53b,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-002,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1730.5,1800.0,461253.2,8713,,False,[]
073a5f3f-125d-4e8b-a423-4a9b03a3bafb,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-003,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1738.1,1800.0,1328049.6,10624,,False,[]
8eff3c0b-8d51-4179-8144-6826eb65eee1,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-004,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1792.3,1800.0,889458.4,7080,,False,[]
9b4b5db4-bd74-4e71-9e6a-5e992a66e32e,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-005,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1531.4,1800.0,588245.3,16290,,False,[]
21f65e84-23e0-40f3-92c6-4892593e0e8e,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-006,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1808.4,1800.0,1532890.3,7893,,False,[]
550dec8c-cda8-445e-b24b-1880dddbff64,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-007,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1826.9,1800.0,1602298.3,957,,False,[]
f788d29d-a808-4199-8a3c-c37a9c7ef026,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-008,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1847.1,1800.0,1313246.2,12673,,False,[]
ff9649f4-b69b-40b4-9dea-44d4e5973eef,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-009,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1590.7,1800.0,520599.9,2572,,False,[]
adff8b08-75d5-4a64-b8b9-14b16d552305,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-010,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1740.9,1800.0,170705.5,16643,,False,[]
cf3b148e-b0ff-4e3e-bfce-1883df779d10,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-011,production_meter,2026-09-01T20:17:58.253Z,1,stopped,ore,460.4,1800.0,1423320.2,18202,feed_shortage,True,"[""PRODUCTION_RATE_LOW""]"
f84af4cc-e63b-44e5-bd41-1b4a00542571,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-012,production_meter,2026-09-01T20:17:58.253Z,1,degraded,ore,332.3,1800.0,875420.6,9667,crusher_trip,True,"[""PRODUCTION_RATE_LOW""]"
a37b3738-8af5-42cf-9429-b8979ec62abc,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-013,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1792.6,1800.0,1402795.0,18342,,False,[]
b30eded9-dde7-4b57-ad7c-e8bc87b40a94,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-014,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1678.2,1800.0,1665965.4,3504,,False,[]
8d13d5fa-dbcf-4137-847a-9c8824edd0ea,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-015,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1701.9,1800.0,339257.7,19001,,False,[]
fe7b2a0b-d3cf-433c-ac64-b1a1d5087fdf,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-016,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1615.9,1800.0,1571302.5,593,,False,[]
5b0db77b-c6b2-43b8-a9b5-f5864d79ecfc,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-017,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1552.9,1800.0,1746253.1,4819,,False,[]
df675a4a-b475-4827-880f-4552d9c7195c,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-018,production_meter,2026-09-01T20:17:58.253Z,1,running,ore,1728.6,1800.0,1509266.7,17739,,False,[]
ff34173a-a35d-4841-88f5-3cac1aa13e03,1.0,acme-mining,site-01,production_telemetry,ACME-S01-PROD-019,production_meter,2026-09-01T20:17:58.253Z,1,stopped,ore,296.8,1800.0,520944.9,1921,feed_shortage,True,"[""PRODUCTION_RATE_LOW""]"
