message_id,schema_version,tenant_id,site_id,message_type,asset_id,asset_type,timestamp,sequence_no,location.lat,location.lon,location.heading,location.speed_kmh,location.zone,haul_cycle.cycle_id,haul_cycle.cycle_state,haul_cycle.payload_tonnes,haul_cycle.target_payload_tonnes,fuel.total_litres,fuel.level_pct,fuel.engine_on,fuel.idle_flag,operating.engine_hours,operating.odometer_km,operating.geofence_violation,operating.harsh_braking_flag,operating.speeding_flag,diagnostics.engine_temp_c,diagnostics.battery_voltage,diagnostics.fault_codes,diagnostics.health_index,equipment_health.operating_state,equipment_health.bearing_temp_c,equipment_health.vibration_m_s2,equipment_health.hydraulic_pressure_psi,equipment_health.health_index,air_quality.pm2_5_ug_m3,air_quality.pm10_ug_m3,air_quality.dust_mg_m3,air_quality.ambient_temp_c,air_quality.relative_humidity_pct,air_quality.alert_flag
b2290199-2a48-4c6f-a563-2b85f8bd8f3a,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-001,haul_truck,2026-09-01T11:59:56.780Z,1,-16.552565,-71.509228,26.5,1.3,Pit-A,cycle-acme-s01-truck-001-00001,loading,224.2,240.0,131012.92,40.6,True,True,14355.85,35756.78,False,False,False,87.6,25.0,[],1.0,,,,,,,,,,,
a0715e53-5662-4f0f-9cbe-e7eeebfc3a30,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-002,haul_truck,2026-09-01T11:59:56.780Z,1,-16.635418,-71.536643,61.2,0.4,Pit-A,cycle-acme-s01-truck-002-00001,loading,227.4,240.0,195645.62,27.1,True,True,19714.21,74771.47,False,False,False,86.7,24.3,[],1.0,,,,,,,,,,,
7a5b44ac-d361-43c3-bd24-30104c607817,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-003,haul_truck,2026-09-01T11:59:56.780Z,1,-16.63513,-71.523217,213.8,1.1,Pit-A,cycle-acme-s01-truck-003-00001,loading,226.8,240.0,295949.17,63.1,True,True,1362.56,145267.72,False,False,False,86.9,24.7,[],1.0,,,,,,,,,,,
2777db90-f473-4b41-ae6d-807f8bc71eae,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-004,haul_truck,2026-09-01T11:59:56.780Z,1,-16.61596,-71.592623,56.5,0.7,Pit-A,cycle-acme-s01-truck-004-00001,loading,227.3,240.0,364560.49,73.9,True,True,17959.93,24094.22,False,False,False,114.0,23.9,"[""ENG_OVERHEAT""]",0.72,,,,,,,,,,,
7606b3ba-8748-49c4-b7f3-015939ce4711,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-005,haul_truck,2026-09-01T11:59:56.780Z,1,-16.534801,-71.520904,262.7,0.3,Pit-A,cycle-acme-s01-truck-005-00001,loading,224.4,240.0,50808.19,31.8,True,True,21092.92,232054.56,False,False,False,93.2,24.2,[],1.0,,,,,,,,,,,
81c1a5fa-a1ce-459d-854d-65c560c00887,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-006,haul_truck,2026-09-01T11:59:56.780Z,1,-16.609834,-71.529173,302.3,0.4,Pit-A,cycle-acme-s01-truck-006-00001,loading,216.6,240.0,245940.38,93.1,True,True,17911.12,479731.03,False,False,False,91.7,24.0,[],1.0,,,,,,,,,,,
1572f2e5-22dc-46fe-b0f9-d7a8f25a437e,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-007,haul_truck,2026-09-01T11:59:56.780Z,1,-16.557669,-71.610168,216.0,0.5,Pit-A,cycle-acme-s01-truck-007-00001,loading,219.5,240.0,389151.06,65.4,True,True,18383.38,409667.44,False,False,False,92.6,24.1,[],1.0,,,,,,,,,,,
46f0ec22-4e60-41f9-8547-20ae0703d8d7,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-008,haul_truck,2026-09-01T11:59:56.780Z,1,-16.65424,-71.573024,303.7,0.0,Pit-A,cycle-acme-s01-truck-008-00001,loading,219.5,240.0,45108.49,41.3,True,True,5631.44,202314.42,False,False,False,86.8,24.2,[],1.0,,,,,,,,,,,
a9dd6daa-e204-416a-aa48-92bbef47b354,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-009,haul_truck,2026-09-01T11:59:56.780Z,1,-16.627684,-71.467635,195.8,0.6,Pit-A,cycle-acme-s01-truck-009-00001,loading,223.9,240.0,172879.64,39.7,True,True,14276.51,249844.27,False,False,False,86.9,24.1,[],1.0,,,,,,,,,,,
54ff90ec-130e-469b-883b-1e1135657c6d,1.0,acme-mining,site-01,fleet_telemetry,ACME-S01-TRUCK-010,haul_truck,2026-09-01T11:59:56.780Z,1,-16.644256,-71.556787,167.4,1.3,Pit-A,cycle-acme-s01-truck-010-00001,loading,221.3,240.0,85301.02,76.0,True,True,14538.35,403752.54,False,False,False,88.6,24.1,[],1.0,,,,,,,,,,,
